,cid,id,name,lat,lon,avg_temp,avg_prec
0,27,27,Collioure,42.52505,3.0831554,11.264285714285714,0.4571428571428572
1,33,33,Bayonne,43.49333789999999,-1.475099,10.165714285714285,0.6599999999999999
2,34,34,La Rochelle,46.1591126,-1.1520434,9.94,0.5928571428571429
3,32,32,Biarritz,43.47114375,-1.5527265906663141,9.934285714285716,0.6357142857142858
4,1,1,St Malo,48.649518,-2.0260409,9.874285714285715,0.7171428571428572
5,25,25,Aigues Mortes,43.565822499999996,4.1912837,9.599999999999998,0.19714285714285712
6,26,26,Saintes Maries de la mer,43.4522771,4.4287171999999995,9.370000000000001,0.2057142857142857
7,0,0,Mont Saint Michel,48.6359541,-1.5114599549595142,8.88,0.7957142857142856
8,24,24,Nimes,43.8374249,4.3600687,8.644285714285713,0.20714285714285713
9,19,19,Cassis,43.2140359,5.5396317999999996,8.621428571428572,0.2657142857142857
10,3,3,Le Havre,49.493897499999996,0.10797319999999999,8.567142857142859,0.87
11,18,18,Bormes les Mimosas,43.157217200000005,6.329253867921362,8.544285714285715,0.24857142857142858
12,2,2,Bayeux,49.2764624,-0.7024738,8.485714285714286,0.8371428571428571
13,20,20,Marseille,43.2961743,5.3699525,8.322857142857142,0.2657142857142857
14,30,30,Toulouse,43.6044622,1.4442469,7.83,0.5928571428571429
15,28,28,Carcassonne,43.21303579999999,2.3491068999999998,7.6657142857142855,0.6185714285714285
16,23,23,Uzes,44.012127899999996,4.4196718,7.63,0.23285714285714285
17,31,31,Montauban,44.0175835,1.3549991000000001,7.6000000000000005,0.5385714285714286
18,4,4,Rouen,49.4404591,1.0939658,7.431428571428571,0.6599999999999999
19,22,22,Avignon,43.9492493,4.8059012,7.1971428571428575,0.24571428571428572
20,5,5,Paris,48.858889700000006,2.3200410217200766,7.035714285714285,0.5200000000000001
21,6,6,Amiens,49.8941708,2.2956951,6.96,0.40857142857142864
22,7,7,Lille,50.636565399999995,3.0635282000000004,6.807142857142857,0.4414285714285714
23,21,21,Aix en Provence,43.5298424,5.4474738,6.561428571428571,0.2671428571428571
24,16,16,Lyon,45.75781370000001,4.8320114,4.737142857142857,0.5171428571428571
25,11,11,Eguisheim,48.0447968,7.3079618,4.4957142857142856,0.37142857142857144
26,13,13,Dijon,47.321580600000004,5.0414701,4.4071428571428575,0.5385714285714285
27,10,10,Colmar,48.07775170000001,7.3579641,4.328571428571428,0.3757142857142857
28,15,15,Grenoble,45.1875602,5.7357819,3.5700000000000003,0.5428571428571429
29,12,12,Besancon,47.2380222,6.0243622000000006,3.5500000000000003,0.5599999999999999
30,8,8,Strasbourg,48.584614,7.750712700000001,3.545714285714286,0.4528571428571429
31,17,17,Gorges du Verdon,43.749656200000004,6.3285616,3.3685714285714283,0.24428571428571427
32,14,14,Annecy,45.8992348,6.1288847,1.9928571428571427,0.5485714285714286
33,9,9,Chateau du Haut Koenigsbourg,48.249489800000006,7.34429620253195,1.1885714285714286,0.4328571428571428
34,29,29,Ariege,42.9455368,1.4065544156065486,1.147142857142857,0.6285714285714287
